"Ad Name",Day,Reach,Impressions,Frequency,"Result Type",Results,"Cost per Result","Amount Spent (USD)","CPM (Cost per 1,000 Impressions)","Link Clicks","CPC (Cost per Link Click)","CTR (Link Click-Through Rate)","CPC (All)","CTR (All)","Reporting Starts","Reporting Ends"
,,24508,52523,2.1430961318753,,,,300,5.71178341,322,0.93167702,0.61306475258458,0.625,0.91388535,2018-12-06,2019-05-03
"Post: ""Call (505) 856-0026 for exclusive offers on self...""",2019-02-10,2142,2419,1.1293183940243,"Link Clicks",13,0.81307692307692,10.57,4.3695742,13,0.81307692,0.53741215378255,0.660625,0.66143034,2019-02-10,2019-02-10
"Post: ""Call (505) 856-0026 for exclusive offers on self...""",2019-02-11,2452,2834,1.1557911908646,"Link Clicks",16,0.695,11.12,3.92378264,16,0.695,0.56457304163726,0.58526316,0.67043049,2019-02-11,2019-02-11
"Post: ""Call (505) 856-0026 for exclusive offers on self...""",2019-02-12,2105,2365,1.1235154394299,"Link Clicks",17,0.66764705882353,11.35,4.79915433,17,0.66764706,0.71881606765328,0.54047619,0.88794926,2019-02-12,2019-02-12
"Post: ""Call (505) 856-0026 for exclusive offers on self...""",2019-02-13,1939,2139,1.1031459515214,"Link Clicks",16,0.7225,11.56,5.40439458,16,0.7225,0.74801309022908,0.4624,1.16877045,2019-02-13,2019-02-13
"Post: ""Call (505) 856-0026 for exclusive offers on self...""",2019-02-14,1967,2114,1.0747330960854,"Link Clicks",12,0.9325,11.19,5.29328288,12,0.9325,0.56764427625355,0.50863636,1.04068117,2019-02-14,2019-02-14
"Post: ""Call (505) 856-0026 for exclusive offers on self...""",2019-02-15,2117,2321,1.0963627775154,"Link Clicks",12,0.95166666666667,11.42,4.92029298,12,0.95166667,0.5170185264972,0.71375,0.68935804,2019-02-15,2019-02-15
"Post: ""Call (505) 856-0026 for exclusive offers on self...""",2019-02-16,2115,2364,1.1177304964539,"Link Clicks",13,0.85769230769231,11.15,4.71658206,13,0.85769231,0.54991539763113,0.74333333,0.63451777,2019-02-16,2019-02-16
"Post: ""Call (505) 856-0026 for exclusive offers on self...""",2019-02-17,2123,2348,1.1059821008008,"Link Clicks",18,0.61555555555556,11.08,4.71890971,18,0.61555556,0.76660988074957,0.46166667,1.02214651,2019-02-17,2019-02-17
"Post: ""Call (505) 856-0026 for exclusive offers on self...""",2019-02-18,1975,2151,1.0891139240506,"Link Clicks",11,0.96545454545455,10.62,4.93723849,11,0.96545455,0.51139005113901,0.708,0.69735007,2019-02-18,2019-02-18
"Post: ""Call (505) 856-0026 for exclusive offers on self...""",2019-02-19,1854,2049,1.1051779935275,"Link Clicks",7,1.4628571428571,10.24,4.99755979,7,1.46285714,0.34163006344558,0.93090909,0.53684724,2019-02-19,2019-02-19
"Post: ""Call (505) 856-0026 for exclusive offers on self...""",2019-02-20,1661,1852,1.1149909692956,"Link Clicks",12,0.90916666666667,10.91,5.89092873,12,0.90916667,0.64794816414687,0.681875,0.86393089,2019-02-20,2019-02-20
"Post: ""Call (505) 856-0026 for exclusive offers on self...""",2019-02-21,1615,1682,1.0414860681115,"Link Clicks",13,0.87384615384615,11.36,6.75386445,13,0.87384615,0.77288941736029,0.49391304,1.36741974,2019-02-21,2019-02-21
